,pattern,keyword,concept,origin
86,klimafreund,"Ein Kommentar zu „ Keine Kohle für die Kohle - Woche / "" Liebe Klimafreunde , diese Woche habe ich mich furchtbar geärgert über die verlogene Klimadiskussion im Bundesrat .",person,P2022
87,klimafreundin,"Doch es gibt eine weitere natürliche Klimafreundin , über die kaum einer spricht : die Hecke .",person,P2022
366,klimagnom,"In Deggendorf hat uns leider nicht nur Corona einen Strich durch die Rechnung gemacht , sondern auch Kunz der Klimagnom .",person,P2022
377,klimahysteriker,""" Nicht verwunderlich dass daher auch gerade die entsprechende Presse ( BILD etc . ) sich an der Kürung dieses Unwortes reibt und eine Diffamierung der Bürger sieht , „ die sich an den radikalen Auswüchsen der KlimaschutzBewegung stören "" Gemäß einem Kommentar in der „ Zeit "" , sind die wahren „ Klimahysteriker "" die Klimaleugner , deren „ Scheinrealität , in der nicht zuletzt die Gesetze der Physik pseudowissenschaftlich neu definiert werden "" zur „ Weigerung manch älterer Männer [ führt ] die Realitäten des Klimawandels anzuerkennen "" Leider sitzen solchermaßen ideologisierende Herren , wie das Kinderliedchen mit der Oma zeigt , auch ganz ganz oben im WDR ( oder der „ Welt "" ) , und unser Fallbeispiel offenbart doch auch ganz klar , wer wirklich die „ Hysteriker "" und irrational Empörten sind . . , jedenfalls nicht die Klimabewegung und nicht FFF !",person,P2022
378,klimajünger,"Expertenrunden und aggressiver werdende Hetze ( „ Mythen der Klimajünger "" ) platzieren den INSMStandpunkt ( „ Augenmaß "" beim Klimaschutz zum Schutz der betroffenen Industrie ) als alleinige Wahrheit .",person,P2022
380,klimakanzler,"Ihr alle seid oder werdet auch Wähler , informiert Euch über die Programme der Parteien und trefft eine kompetente Wahl , spätestens geht Merkel , vielleicht kann man ja eine ( n ) echte ( n ) Klimakanzler ( in ) wählen .",person,P2022
389,klimakanzlerin,"Bald danach stellt die „ Klimakanzlerin "" Angela Merkel das Klimapaket ihrer Kommission als großen Erfolg dar und erklärt scheinheilig : „ Wir alle haben den Weckruf der Jugend gehört "" Kommentare zu „ Woche / - How dare you ?",person,P2022
385,klimakanzlerin,"Also ran an die politisch Verantwortlichen , vorneweg unsere „ Klimakanzlerin "" und ihre NachfolgeKandidatinnen und Kandidaten .",person,P2022
382,klimakanzlerin,Mühlhaus ' Woche Klimakanzlerin a .,person,P2022
384,klimakanzlerin,"Ein Wahlkampf wo dies Thema faktisch unbedeutend war , und Merkel , die medial auserkorende „ Klimakanzlerin "" ( was ein Etikettenschwindel !",person,P2022
386,klimakanzlerin,"Die beschönigte Rede der ehemaligen „ Klimakanzlerin "" ist angesichts der vorangegangenen Entscheidungen und Taten wenig Wert .",person,P2022
383,klimakanzlerin,"Vor etwa Jahren warnte unsere damalige Klimakanzlerin Merkel beim Petersberger Klimadialog vor schwersten verheerenden Nebenwirkungen für Menschen und Ökosysteme , sollte die Erderwärmung nicht begrenzt werden .",person,P2022
388,klimakanzlerin,"Die Bundesregierung hat in all diesen Punkten versagt , obwohl sie seit fast Jahren doch angeblich von einer "" Klimakanzlerin "" geführt wird .",person,P2022
391,klimakommissar,"Gespräche mit Timmermans zur GAP In den letzten beiden Wochen gab es Tweetstorms , jede Menge Input auf Social Media und Gespräche - Anuna De Wever , Adélaïde Charlier , Greta Thunberg und Luisa Neubauer haben sich am mit Klimakommissar Frans Timmermans getroffen , um mit ihm über unsere Forderung , die GAP zu kippen , zu reden .",person,P2022
406,klimaleugner,"Durch ihre Recherche konnten sie Verbindungen zu dem LobbyVerband ‚ Heartland ' in den USA aufdecken , der auch Klimaleugner * innen in Europa finanziell unterstützt und FalschNachrichten über die angeblich nichtexistente Klimakrise verbreitet .",person,P2022
435,klimaleugner,Klimaleugner * innen glauben den Aussagen des Weltklimarats nicht .,person,P2022
426,klimaleugner,Die Gruppe der Klimaleugner * innen ist keinesfalls einheitlich .,person,P2022
411,klimaleugner,"Im übrigen glaube ich weder Klimaleugnern noch der von Ihnen erwähnten Partei , wobei eine solche Verquickung bei Sachthemen niveaulos ist .",person,P2022
420,klimaleugner,"Mit Webinaren rund um den Klimawandel treten wir Klimaleugner * innen und fehlender Klimabildung in den Schulen entgegen und organisieren uns eigene , faktenbasierte , informierte KlimaGesellschaftsKrisenBildung .",person,P2022
429,klimaleugner,"Klimaleugner * innen und ihre Netzwerke Im Zentrum der deutschen Klimaleugner * innen stehen die rechtspopulistische Partei „ Alternative für Deutschland "" ( AfD ) und das pseudowissenschaftliche „ Europäische Institut für Klima und Energie "" ( EIKE ) .",person,P2022
