original,second_part,noun_forms,lemma,genus,compound_forms
klimaschiff,schiff,"['schiffen', 'schiffes', 'schiffe', 'schiffs', 'schiff']",schiff,n,"['klimaschiffen', 'klimaschiffes', 'klimaschiffe', 'klimaschiffs', 'klimaschiff']"
klimaschmerz,schmerz,"['schmerzes', 'schmerz', 'schmerze', 'schmerzen']",schmerz,m,"['klimaschmerzes', 'klimaschmerz', 'klimaschmerze', 'klimaschmerzen']"
klimaschrecken,schrecken,"['schrecken', 'schreckens']",schrecken,m,"['klimaschrecken', 'klimaschreckens']"
klimaschuld,schuld,"['schulden', 'schuld']",schuld,f,"['klimaschulden', 'klimaschuld']"
klimaschwachsinn,schwachsinn,"['schwachsinns', 'schwachsinnes', 'schwachsinn', 'schwachsinne']",schwachsinn,m,"['klimaschwachsinns', 'klimaschwachsinnes', 'klimaschwachsinn', 'klimaschwachsinne']"
klimaschwindel,schwindel,"['schwindel', 'schwindels']",schwindel,m,"['klimaschwindel', 'klimaschwindels']"
klimaschwindler,schwindler,"['schwindler', 'schwindlern', 'schwindlers']",schwindler,m,"['klimaschwindler', 'klimaschwindlern', 'klimaschwindlers']"
klimaschänder,schänder,"['schänders', 'schändern', 'schänder']",schänder,m,"['klimaschänders', 'klimaschändern', 'klimaschänder']"
klimaschändung,schändung,"['schändungen', 'schändung']",schändung,f,"['klimaschändungen', 'klimaschändung']"
klimasekte,sekte,"['sekte', 'sekten']",sekte,f,"['klimasekte', 'klimasekten']"
klimasektierer,sektierer,"['sektierer', 'sektierern', 'sektierers']",sektierer,m,"['klimasektierer', 'klimasektierern', 'klimasektierers']"
klimashow,show,"['show', 'shows']",show,f,"['klimashow', 'klimashows']"
klimaskepsis,skepsis,['skepsis'],skepsis,f,['klimaskepsis']
klimaskeptiker,skeptiker,"['skeptiker', 'skeptikers', 'skeptikern']",skeptiker,m,"['klimaskeptiker', 'klimaskeptikers', 'klimaskeptikern']"
